Site,Lat,Lon,PFT
BE-Bra,51.30761,4.51984,ENF
CA-TP4,42.710161,-80.357376,ENF
US-xYE,44.9535,-110.5391,ENF
US-Wi5,46.653083,-91.085806,ENF
IT-La2,45.9542,11.2853,ENF
US-CS2,44.1467,-89.5002,ENF
CA-SF1,54.48503,-105.81757,ENF
US-NC3,35.799,-76.656,ENF
DK-Gds,56.0737,9.3341,ENF
IL-Yat,31.34504459,35.05198851,ENF
RU-Fyo,56.46153,32.92208,ENF
NL-Loo,52.16658,5.74356,ENF
US-Prr,65.12367,-147.48756,ENF
DE-Tha,50.96256,13.56515,ENF
CA-TP3,42.7068,-80.3483,ENF
CA-NS2,55.90583,-98.52472,ENF
US-Ho2,45.2091,-68.747,ENF
US-Me6,44.3233,-121.6078,ENF
US-Wi9,46.7385,-91.0746,ENF
US-NC1,35.8118,-76.7119,ENF
CA-SF2,54.25392,-105.8775,ENF
US-Wi2,46.686889,-91.152833,ENF
CA-Qfo,49.6925,-74.3421,ENF
US-NR1,40.0329,-105.5464,ENF
US-HB3,33.3482,-79.2322,ENF
CA-Man,55.87962,-98.48081,ENF
US-Me1,44.5794,-121.5,ENF
US-xBN,65.154,-147.5026,ENF
CA-NS4,55.9144,-98.3806,ENF
IT-SR2,43.73202,10.29091,ENF
SE-Htm,56.09763,13.41897,ENF
US-Me3,44.3154,-121.6078,ENF
CA-Ca1,49.8673,-125.3336,ENF
US-GLE,41.36653,-106.2399,ENF
FR-Bil,44.493652,-0.956092,ENF
DE-Lkb,49.09962,13.30467,ENF
SE-Nor,60.0865,17.479504,ENF
FI-Sod,67.36239,26.63859,ENF
FR-LBr,44.71711,-0.7693,ENF
SE-Svb,64.25611,19.7745,ENF
CN-Qia,26.7414,115.0581,ENF
US-xAB,45.7624,-122.3303,ENF
US-KS1,28.4583,-80.6709,ENF
IT-SRo,43.72786,10.28444,ENF
DE-Obe,50.78666,13.72129,ENF
US-Wi4,46.739333,-91.16625,ENF
FI-Hyy,61.84741,24.29477,ENF
IT-Lav,45.9562,11.28132,ENF
FI-Let,60.64183,23.95952,ENF
CA-Ca2,49.8705,-125.2909,ENF
US-Vcp,35.8642,-106.5967,ENF
CH-Dav,46.81533,9.85591,ENF
RU-Fy2,56.447603,32.901878,ENF
US-BZS,64.6963,-148.3235,ENF
US-Blo,38.8953,-120.6328,ENF
DE-RuW,50.50493,6.3309627,ENF
CZ-RAJ,49.4437236,16.6965125,ENF
US-Fuf,35.089,-111.762,ENF
CZ-BK1,49.50208,18.53688,ENF
US-xDJ,63.8811,-145.7514,ENF
CA-NS3,55.9117,-98.3822,ENF
CA-TP2,42.77441944,-80.458775,ENF
FI-Var,67.7549,29.61,ENF
US-Vcm,35.8884,-106.5321,ENF
US-Me5,44.43719,-121.56676,ENF
US-HB2,33.3242,-79.244,ENF
US-Me4,44.4992,-121.6224,ENF
CA-NS5,55.86306,-98.485,ENF
US-Fmf,35.1426,-111.7273,ENF
AR-Vir,-28.2395,-56.1886,ENF
US-Me2,44.4523,-121.5574,ENF
US-xJE,31.1948,-84.4686,ENF
FI-Ken,67.98721,24.24301,ENF
CA-TP1,42.6609,-80.5595,ENF
US-xRM,40.2759,-105.5459,ENF
AU-Cum,-33.61518,150.72362,EBF
IT-Cpz,41.70525,12.37611,EBF
MY-PSO,2.973,102.3062,EBF
GF-Guy,5.27877,-52.92486,EBF
FR-Pue,43.7413,3.5957,EBF
BR-Sa3,-3.01803,-54.97144,EBF
GH-Ank,5.26854,-2.69421,EBF
BR-Sa1,-2.85667,-54.95889,EBF
AU-Rob,-17.1175,145.6301,EBF
CN-Din,23.1733,112.5361,EBF
AU-Wom,-37.4222,144.0944,EBF
AU-Wac,-37.4259,145.1878,EBF
BE-Vie,50.30493,5.99812,MF
US-xUN,46.2339,-89.5373,MF
CA-Gro,48.2167,-82.1556,MF
US-Syv,46.242,-89.3477,MF
US-SRC,31.9083,-110.8395,MF
JP-SMF,35.2617,137.0788,MF
US-PFa,45.9459,-90.2723,MF
CN-Cha,42.4025,128.0958,MF
FR-Hes,48.6741,7.06465,DBF
US-Wi3,46.6347,-91.0987,DBF
IT-CA1,42.38041,12.02656,DBF
US-xST,45.5089,-89.5864,DBF
BE-Lcr,51.11218,3.85043,DBF
US-UMB,45.5598,-84.7138,DBF
US-xTR,45.4937,-89.5857,DBF
US-WCr,45.8059,-90.0799,DBF
DE-Hai,51.079407,10.452089,DBF
DE-Lnf,51.32822,10.3678,DBF
US-Ha1,42.5378,-72.1715,DBF
US-Wi1,46.730472,-91.232944,DBF
IT-Col,41.84936,13.58814,DBF
US-Bar,44.0646,-71.2881,DBF
CA-TPD,42.6353,-80.5577,DBF
US-xBR,44.0639,-71.2873,DBF
DK-Sor,55.48587,11.64464,DBF
IT-PT1,45.20087,9.06104,DBF
US-MMS,39.3232,-86.4131,DBF
US-Oho,41.5545,-83.8438,DBF
US-xGR,35.689,-83.5019,DBF
IT-Ro1,42.40812,11.93001,DBF
US-UMd,45.5625,-84.6975,DBF
US-MOz,38.7441,-92.2,DBF
CZ-Lnz,48.68155,16.946331,DBF
IT-Ro2,42.39026,11.92093,DBF
CA-Cbo,44.3167,-79.9333,DBF
IT-BFt,45.197754,10.741966,DBF
US-xHA,42.5369,-72.1727,DBF
ZM-Mon,-15.4391,23.2525,DBF
IT-Isp,45.81264,8.63358,DBF
PA-SPn,9.31814,-79.6346,DBF
